Epoch,Layer,Node,WeightType,WeightIndex,WeightValue
14,1,1,input,1,0.839166
14,1,1,input,2,1.0679
14,1,1,output,0,0.911153
14,1,1,output,1,0.762732
14,1,1,output,2,0.665282
14,1,1,bias,0,-0.545975
14,1,2,input,0,0.678916
14,1,2,input,1,0.459213
14,1,2,input,2,-7.05259
14,1,2,output,0,19.9294
14,1,2,output,1,0.993529
14,1,2,output,2,1.051
14,1,2,bias,0,23.4874
14,2,0,input,0,1.0283e-77
14,2,0,input,1,0.911153
14,2,0,input,2,19.9294
14,2,0,output,0,2.51747e-77
14,2,0,bias,0,-1958.68
14,2,1,input,0,2.27062e-61
14,2,1,input,1,0.762732
14,2,1,input,2,0.993529
14,2,1,output,0,5.14018e-19
14,2,1,bias,0,-68.6533
14,2,2,input,0,1.818e-62
14,2,2,input,1,0.665282
14,2,2,input,2,1.051
14,2,2,output,0,6.70109e-17
14,2,2,bias,0,-69.5402
15,0,0,input,0,1
15,0,0,output,0,5.69887e-73
15,0,0,output,1,0.737186
15,0,0,output,2,0.678916
15,0,0,bias,0,-2.73771
15,0,1,input,0,-1
15,0,1,output,0,1.50099
15,0,1,output,1,0.839166
15,0,1,output,2,0.459213
15,0,1,bias,0,4.92048
15,0,2,input,0,-1
15,0,2,output,0,-1.70321
15,0,2,output,1,1.0679
15,0,2,output,2,-7.05259
15,0,2,bias,0,-1.70744
15,1,0,input,0,5.69887e-73
15,1,0,input,1,1.50099
15,1,0,input,2,-1.70321
15,1,0,output,0,1.07522e-83
15,1,0,output,1,9.45124e-67
15,1,0,output,2,5.70364e-68
15,1,0,bias,0,-14.5888
15,1,1,input,0,0.737186
15,1,1,input,1,0.839166
15,1,1,input,2,1.0679
15,1,1,output,0,0.911153
15,1,1,output,1,0.762732
15,1,1,output,2,0.665282
15,1,1,bias,0,-0.545975
15,1,2,input,0,0.678916
15,1,2,input,1,0.459213
15,1,2,input,2,-7.05259
15,1,2,output,0,19.9294
15,1,2,output,1,0.993529
15,1,2,output,2,1.051
15,1,2,bias,0,23.4874
15,2,0,input,0,1.07522e-83
15,2,0,input,1,0.911153
15,2,0,input,2,19.9294
15,2,0,output,0,5.36719e-83
15,2,0,bias,0,-1958.68
15,2,1,input,0,9.45124e-67
15,2,1,input,1,0.762732
15,2,1,input,2,0.993529
15,2,1,output,0,3.75416e-20
15,2,1,bias,0,-68.6533
15,2,2,input,0,5.70364e-68
15,2,2,input,1,0.665282
15,2,2,input,2,1.051
15,2,2,output,0,6.96322e-18
15,2,2,bias,0,-69.5402
16,0,0,input,0,1
16,0,0,output,0,1.34802e-78
